manufacturer,category,series,model,ratedCurrent,poles,breakingCapacity,tripUnit,settingsJson,datasheetUrl
Schneider,MCB,Acti9 iC60,iC60N 1P 1A B,1,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 1A C,1,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 1A D,1,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 2A B,2,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 2A C,2,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 2A D,2,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 3A B,3,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 3A C,3,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 3A D,3,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 4A B,4,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 4A C,4,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 4A D,4,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 6A B,6,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 6A C,6,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 6A D,6,1,10,D,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 10A B,10,1,10,B,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
Schneider,MCB,Acti9 iC60,iC60N 1P 10A C,10,1,10,C,,https://www.se.com/ww/en/product-range/23847-acti9-ic60/
